> ORF 1247	yciX	Clockwise,0.163768
> ORF 823	nfsA	Clockwise,0.728667
> ORF 2013	wcaF	Counterclockwise,-0.0625992
> ORF 2604	csiD	Clockwise,0.696775
> ORF 824	rimK	Clockwise,0.616169
> ORF 825	ybjN	Clockwise,0.589787
> ORF 3897	murB	Clockwise,0.506033
> ORF 828	potH	Clockwise,0.752322
> ORF 830	ybjO	Clockwise,0.855116
> ORF 2630	luxS	Counterclockwise,0.430108
> ORF 2756	ygdI	Counterclockwise,0.24142
> ORF 1200	tpr	Counterclockwise,0.264382
> ORF 832	artJ	Counterclockwise,0.235176
> ORF 2877	yggG	Clockwise,0.55505
> ORF 833	artM	Counterclockwise,0.326481
> ORF 1499	ydeH	Counterclockwise,0.158998
> ORF 834	artQ	Counterclockwise,0.298072
> ORF 1757	yeaP	Clockwise,0.542831
> ORF 836	artP	Counterclockwise,0.353176
> ORF 837	ybjP	Counterclockwise,0.106936
> ORF 3984	yjbR	Clockwise,0.749302
> ORF 838	ybjQ	Clockwise,0.626087
> ORF 3072	yraI	Clockwise,0.518546
> ORF 1230	trpA	Counterclockwise,0.281069
> ORF 1205	rssA	Clockwise,0.441843
> ORF 1624	ribC	Counterclockwise,0.240139
> ORF 1069	holB	Clockwise,0.631096
> ORF 840	ybjS	Counterclockwise,0.25421
> ORF 842	ltaE	Counterclockwise,0.335681
> ORF 2371	pdxK	Counterclockwise,0.16241
> ORF 4010	mdtN	Counterclockwise,0.307555
> ORF 3965	ubiC	Clockwise,0.680887
> ORF 878	ycaP	Clockwise,0.67078
> ORF 847	aqpZ	Counterclockwise,0.171343
> ORF 3365	yhhX	Counterclockwise,0.276503
> ORF 872	ycaN	Counterclockwise,0.221351
> ORF 849	ybjX	Counterclockwise,0.267906
> ORF 1864	uspC	Clockwise,0.541528
> ORF 856	infA	Counterclockwise,0.218793
> ORF 4299	yjjU	Clockwise,0.740778
> ORF 1442	fdnI	Clockwise,0.753688
> ORF 2761	metZ	Clockwise,-0.0247456
> ORF 860	trxB	Counterclockwise,0.393178
> ORF 1936	zinT	Clockwise,0.393478
> ORF 861	lrp	Clockwise,0.499499
> ORF 873	ycaK	Clockwise,0.44381
> ORF 3418	uspB	Counterclockwise,0.0974227
> ORF 874	pflA	Counterclockwise,0.277555
> ORF 2763	metV	Clockwise,-0.0247456
> ORF 884	ihfB	Clockwise,0.591354
> ORF 2128	yeiW	Counterclockwise,0.231659
> ORF 887	lpxK	Clockwise,0.705441
> ORF 1505	ydfZ	Clockwise,0.854289
> ORF 889	ycaR	Clockwise,0.603788
> ORF 2805	glyU	Counterclockwise,-0.176714
> ORF 891	ycbJ	Clockwise,0.419921
> ORF 1267	sapB	Counterclockwise,0.106429
> ORF 892	ycbC	Counterclockwise,0.23083
> ORF 3798	yihL	Clockwise,0.667699
> ORF 1024	yceA	Clockwise,0.529411
> ORF 893	smtA	Clockwise,0.665734
> ORF 2973	yqiC	Clockwise,0.459498
> ORF 4235	nanC	Counterclockwise,0.12198
> ORF 895	mukE	Clockwise,0.768402
> ORF 898	ycbK	Clockwise,0.659035
> ORF 1221	yciI	Counterclockwise,-0.176592
> ORF 2523	pdxJ	Counterclockwise,0.510216
> ORF 899	ycbL	Clockwise,0.861927
> ORF 4074	yjeJ	Counterclockwise,0.28946
> ORF 906	ssuC	Counterclockwise,0.21198
> ORF 908	ssuA	Counterclockwise,0.26526
> ORF 2261	yfcH	Clockwise,0.708703
> ORF 3376	ugpC	Counterclockwise,0.42259
> ORF 1416	ydcX	Clockwise,0.68221
> ORF 3888	fabR	Clockwise,0.696837
> ORF 3056	garR	Counterclockwise,0.217479
> ORF 2424	ypfM	Counterclockwise,0.422035
> ORF 909	ssuE	Counterclockwise,0.209139
> ORF 911	elfD	Clockwise,0.290393
> ORF 2699	ygbT	Counterclockwise,0.0441174
> ORF 913	elfG	Clockwise,0.356017
> ORF 3550	rfaC	Clockwise,0.59518
> ORF 1066	pabC	Clockwise,0.524325
> ORF 3616	yidQ	Clockwise,0.602841
> ORF 914	ycbU	Clockwise,0.497015
> ORF 3240	rpmC	Counterclockwise,0.0841157
> ORF 915	ycbV	Clockwise,0.418726
> ORF 1607	sodC	Counterclockwise,0.44117
> ORF 1519	ydfR	Counterclockwise,0.0788826
> ORF 918	zapC	Clockwise,0.584406
> ORF 1208	hns	Counterclockwise,0.249046
> ORF 3828	rhaD	Counterclockwise,0.288069
> ORF 2599	ypjJ	Clockwise,0.255802
> ORF 924	ymbA	Clockwise,0.557811
> ORF 925	rmf	Clockwise,0.241505
> ORF 926	fabA	Counterclockwise,0.267025
> ORF 2171	apbE	Counterclockwise,0.441944
> ORF 2899	yggL	Counterclockwise,0.245075
> ORF 928	matP	Clockwise,0.796532
> ORF 929	ompA	Counterclockwise,0.129813
> ORF 1037	yceM	Clockwise,0.788984
> ORF 937	yccU	Clockwise,0.836723
> ORF 1541	ynfA	Counterclockwise,0.153798
> ORF 2707	cysH	Counterclockwise,0.264807
> ORF 1810	holE	Clockwise,0.624062
> ORF 2978	yqiI	Clockwise,0.340478
> ORF 938	hspQ	Counterclockwise,0.245572
> ORF 1937	yodB	Clockwise,0.405543
> ORF 2891	yggS	Clockwise,0.600156
> ORF 947	hyaD	Clockwise,0.592935
> ORF 948	hyaE	Clockwise,0.776668
> ORF 955	etp	Counterclockwise,0.106805
> ORF 958	gfcC	Counterclockwise,0.122653
> ORF 959	gfcB	Counterclockwise,0.309323
> ORF 964	cspG	Clockwise,0.545039
> ORF 2053	gatB	Counterclockwise,0.234119
> ORF 969	torT	Clockwise,0.626504
> ORF 974	cbpM	Counterclockwise,0.376022
> ORF 1372	ynbG	Counterclockwise,-0.634401
> ORF 2175	rcsB	Clockwise,0.731034
> ORF 975	cbpA	Counterclockwise,0.386183
> ORF 3102	metY	Counterclockwise,-0.370173
> ORF 2547	rrfG	Counterclockwise,-0.00727863
> ORF 980	ymdF	Clockwise,0.390587
> ORF 984	rutD	Counterclockwise,0.268047
> ORF 2966	nudF	Counterclockwise,0.118873
> ORF 986	rutB	Counterclockwise,0.24038
> ORF 993	phoH	Clockwise,0.474125
> ORF 994	pgaD	Counterclockwise,-0.0664417
> ORF 3536	cysE	Counterclockwise,0.25072
> ORF 1020	yceK	Clockwise,0.581961
> ORF 4195	idnK	Clockwise,0.500126
> ORF 3756	ysgA	Counterclockwise,0.120014
> ORF 1001	ycdU	Clockwise,0.436057
> ORF 1089	nagK	Clockwise,0.776887
> ORF 1005	ycdY	Clockwise,0.701138
> ORF 1378	ynbA	Clockwise,0.408881
> ORF 1986	hisI	Clockwise,0.724248
> ORF 1006	ycdZ	Clockwise,0.634963
> ORF 1008	csgF	Counterclockwise,0.14127
> ORF 1011	csgB	Clockwise,0.313859
> ORF 2054	gatA	Counterclockwise,0.155167
> ORF 3531	yibL	Clockwise,0.788429
> ORF 1012	csgA	Clockwise,0.406885
> ORF 2866	mscS	Counterclockwise,0.322896
> ORF 3815	yiiE	Clockwise,0.360747
> ORF 1013	csgC	Clockwise,0.280545
> ORF 1015	ymdB	Clockwise,0.387154
> ORF 1023	lpxL	Counterclockwise,0.0952138
> ORF 1386	cybB	Clockwise,0.501851
> ORF 2631	micA	Clockwise,0.757292
> ORF 3744	yigG	Counterclockwise,0.129853
> ORF 1025	yceI	Counterclockwise,0.460154
> ORF 1704	cho	Clockwise,0.548957
> ORF 1027	yceO	Counterclockwise,-0.0418592
> ORF 3079	yraP	Clockwise,0.707077
> ORF 2509	glnB	Counterclockwise,0.344868
> ORF 2871	yggD	Counterclockwise,0.333041
> ORF 1029	bssS	Counterclockwise,0.252051
> ORF 1030	dinI	Counterclockwise,0.387108
> ORF 1032	yceB	Counterclockwise,0.370836
> ORF 2409	eutN	Counterclockwise,0.243737
> ORF 1041	flgA	Counterclockwise,0.396083
> ORF 1043	flgC	Clockwise,0.576253
> ORF 2445	hyfJ	Clockwise,0.647218
> ORF 4231	yjhQ	Counterclockwise,0.0947702
> ORF 1044	flgD	Clockwise,0.628114
> ORF 2894	rdgB	Clockwise,0.773011
> ORF 1701	chbB	Counterclockwise,0.171677
> ORF 1046	flgF	Clockwise,0.58986
> ORF 3695	ilvL	Clockwise,0.0472175
> ORF 1048	flgH	Clockwise,0.662066
> ORF 1644	sufC	Counterclockwise,0.304414
> ORF 2775	lgt	Counterclockwise,0.215409
> ORF 1049	flgI	Clockwise,0.625878
> ORF 2275	truA	Counterclockwise,0.210316
> ORF 1586	cnu	Clockwise,0.518752
> ORF 1656	ydiB	Clockwise,0.707348
> ORF 3403	nikB	Clockwise,0.788339
> ORF 1160	ymgE	Clockwise,0.645683
> ORF 1054	yceQ	Clockwise,0.231282
> ORF 1058	yceD	Clockwise,0.533508
> ORF 1059	rpmF	Clockwise,0.643633
> ORF 1178	ychQ	Clockwise,0.807067
> ORF 1060	plsX	Clockwise,0.486753
> ORF 2696	cysD	Counterclockwise,0.271046
> ORF 1061	fabH	Clockwise,0.574906
> ORF 3631	rpmH	Clockwise,0.615143
> ORF 1063	fabG	Clockwise,0.736201
> ORF 1474	lsrR	Counterclockwise,0.198811
> ORF 1064	acpP	Clockwise,0.958883
> ORF 1376	ydbC	Clockwise,0.503688
> ORF 3849	fpr	Counterclockwise,0.250767
> ORF 1293	ycjW	Counterclockwise,0.1553
> ORF 2077	yehL	Clockwise,0.649158
> ORF 1067	yceG	Clockwise,0.781027
> ORF 1068	tmk	Clockwise,0.78575
> ORF 1073	hinT	Clockwise,0.593006
> ORF 3502	ysaA	Counterclockwise,0.130293
> ORF 1074	ycfL	Clockwise,0.619873
> ORF 1516	rzpQ	Counterclockwise,0.182351
> ORF 1075	lpoB	Clockwise,0.605721
> ORF 1077	nagZ	Clockwise,0.697958
> ORF 4287	fhuF	Counterclockwise,0.213042
> ORF 1078	ycfP	Clockwise,0.556657
> ORF 1080	ycfJ	Clockwise,0.558569
> ORF 3614	ibpB	Counterclockwise,0.4523
> ORF 1082	bhsA	Clockwise,0.491656
> ORF 1087	lolD	Clockwise,0.828634
> ORF 1091	ycfZ	Counterclockwise,0.0775976
> ORF 1719	ynjD	Clockwise,0.534562
> ORF 1092	ymfA	Counterclockwise,0.308976
> ORF 1477	lsrD	Clockwise,0.560807
> ORF 4133	priB	Clockwise,0.303067
> ORF 1093	potD	Counterclockwise,0.118289
> ORF 2362	yfeH	Clockwise,0.620706
> ORF 1104	nudJ	Counterclockwise,0.244414
> ORF 1105	rluE	Counterclockwise,0.281012
> ORF 2298	yfcZ	Counterclockwise,0.141595
> ORF 1107	ymfD	Counterclockwise,-0.167769
> ORF 1108	ymfE	Counterclockwise,-0.0803666
> ORF 1601	anmK	Counterclockwise,0.272979
> ORF 1111	xisE	Counterclockwise,-0.113593
> ORF 1179	ychA	Clockwise,0.683036
> ORF 1115	croE	Clockwise,0.649691
> ORF 2450	yfgD	Clockwise,0.740148
> ORF 2906	yqgA	Clockwise,0.623744
> ORF 2942	yghB	Clockwise,0.67203
> ORF 1116	ymfL	Clockwise,0.428678
> ORF 1118	ymfR	Clockwise,0.89479
> ORF 1119	ymfQ	Clockwise,0.687501
> ORF 4285	yjjQ	Clockwise,0.333146
> ORF 1120	stfP	Clockwise,0.452533
> ORF 1121	tfaP	Clockwise,0.631061
> ORF 1122	tfaE	Counterclockwise,0.284606
> ORF 1818	eda	Counterclockwise,0.199942
> ORF 2250	yfbT	Counterclockwise,0.280564
> ORF 1286	ycjP	Clockwise,0.7487
> ORF 2020	wzb	Counterclockwise,0.175893
> ORF 3039	yhaJ	Counterclockwise,0.149762
> ORF 1124	mcrA	Clockwise,0.176928
> ORF 1948	cbl	Counterclockwise,0.113845
> ORF 1125	iraM	Counterclockwise,-0.292281
> ORF 3668	atpI	Counterclockwise,0.146198
> ORF 1127	ycgE	Counterclockwise,0.269127
> ORF 1675	btuC	Counterclockwise,0.197045
> ORF 1129	ycgZ	Clockwise,0.480207
> ORF 1131	ariR	Clockwise,0.211746
> ORF 3885	oxyS	Counterclockwise,-0.372424
> ORF 2954	mqsR	Counterclockwise,0.0644031
> ORF 1132	ymgC	Clockwise,0.437691
> ORF 2185	yfaT	Counterclockwise,0.141539
> ORF 1134	ymgF	Clockwise,0.430698
> ORF 1206	rssB	Clockwise,0.574214
> ORF 1135	ymgD	Counterclockwise,0.188451
> ORF 2257	yfcE	Counterclockwise,0.203871
> ORF 3050	tdcA	Counterclockwise,-0.0350224
> ORF 3222	rplQ	Counterclockwise,0.073942
> ORF 1137	ymgI	Counterclockwise,-0.0790992
> ORF 1449	ddpF	Counterclockwise,0.242215
> ORF 2374	cysM	Counterclockwise,0.322798
> ORF 1138	ymgJ	Clockwise,-0.0621693
> ORF 1949	nac	Counterclockwise,0.255653
> ORF 3886	oxyR	Clockwise,0.791989
> ORF 1139	minE	Counterclockwise,0.141469
> ORF 1141	minC	Counterclockwise,0.190582
> ORF 1142	ycgJ	Clockwise,0.342933
> ORF 3019	ygjP	Clockwise,0.65534
> ORF 3108	folP	Counterclockwise,0.23727
> ORF 2465	yfgJ	Counterclockwise,0.19033
> ORF 2511	yfhG	Counterclockwise,0.27359
> ORF 1143	pliG	Counterclockwise,0.203628
> ORF 1144	ycgL	Clockwise,0.610404
> ORF 2527	lepB	Counterclockwise,0.190883
> ORF 2860	argK	Clockwise,0.681502
> ORF 1198	narI	Clockwise,0.788455
> ORF 2703	casB	Counterclockwise,-0.00544522
> ORF 1146	ycgN	Clockwise,0.639842
> ORF 2529	rseC	Counterclockwise,0.206334
> ORF 1147	hlyE	Counterclockwise,0.194086
> ORF 2613	ygaP	Clockwise,0.524119
> ORF 1148	umuD	Clockwise,0.611511
> ORF 1788	cspC	Counterclockwise,0.385857
> ORF 1152	fadR	Clockwise,0.804274
> ORF 3465	rdlD	Clockwise,-0.279344
> ORF 1452	ddpB	Counterclockwise,0.314347
> ORF 3524	yibG	Clockwise,0.102146
> ORF 1155	dadX	Clockwise,0.574767
> ORF 2419	ypfG	Counterclockwise,0.275477
> ORF 1157	ldcA	Counterclockwise,0.410583
> ORF 1158	emtA	Clockwise,0.642854
> ORF 1161	ycgY	Clockwise,0.527291
> ORF 3285	yhfA	Counterclockwise,0.195259
> ORF 1168	ychF	Counterclockwise,0.317065
> ORF 1170	ychH	Clockwise,0.43707
> ORF 1172	prs	Counterclockwise,0.306758
> ORF 1173	ispE	Counterclockwise,0.316634
> ORF 2271	dedD	Counterclockwise,0.0448875
> ORF 1263	ycjD	Counterclockwise,-0.0322526
> ORF 1177	prmC	Clockwise,0.661863
> ORF 1245	cysB	Clockwise,0.533112
> ORF 1180	kdsA	Clockwise,0.771576
> ORF 2933	hybA	Counterclockwise,0.0296405
> ORF 1280	pspC	Clockwise,0.892653
> ORF 3406	nikE	Clockwise,0.738445
> ORF 1181	ldrA	Counterclockwise,0.305362
> ORF 4284	yjjP	Counterclockwise,0.313853
> ORF 1182	rdlA	Clockwise,-0.201668
> ORF 1441	fdnH	Clockwise,0.644537
> ORF 1712	xthA	Clockwise,0.861096
> ORF 4178	yjgJ	Clockwise,0.491523
> ORF 1184	rdlB	Clockwise,0.220863
> ORF 3172	aaeA	Counterclockwise,0.142103
> ORF 1430	yddH	Counterclockwise,0.0589269
> ORF 1190	ychN	Counterclockwise,0.152229
> ORF 1197	narJ	Clockwise,0.859582
> ORF 1204	ychJ	Counterclockwise,0.0269379
> ORF 1207	galU	Clockwise,0.716481
> ORF 1251	yciS	Clockwise,0.753744
> ORF 2759	csdL	Counterclockwise,0.367173
> ORF 1209	tdk	Clockwise,0.42781
> ORF 3854	rraA	Counterclockwise,0.272157
> ORF 1211	ychE	Clockwise,0.571088
> ORF 1778	nudL	Clockwise,0.53163
> ORF 1213	oppB	Clockwise,0.591296
> ORF 1616	ydhO	Clockwise,0.46985
> ORF 1215	oppD	Clockwise,0.638614
> ORF 1216	oppF	Clockwise,0.653119
> ORF 1219	yciY	Clockwise,0.347366
> ORF 1443	yddM	Counterclockwise,0.289514
> ORF 1889	fliY	Counterclockwise,0.221096
> ORF 1225	yciC	Counterclockwise,0.214341
> ORF 1226	ompW	Clockwise,0.608577
> ORF 1277	pspF	Counterclockwise,0.282303
> ORF 3503	yiaJ	Counterclockwise,0.298213
> ORF 3436	arrS	Counterclockwise,-0.00592944
> ORF 1227	yciE	Counterclockwise,0.0751826
> ORF 1925	vsr	Counterclockwise,0.369798
> ORF 1229	yciG	Counterclockwise,0.334317
> ORF 1512	ydfO	Clockwise,0.181684
> ORF 1235	trpL	Counterclockwise,-0.042076
> ORF 1877	yecA	Counterclockwise,0.141244
> ORF 1237	yciO	Clockwise,0.78868
> ORF 1240	btuR	Counterclockwise,0.502468
> ORF 1242	sohB	Clockwise,0.694228
> ORF 1243	yciN	Counterclockwise,0.200393
> ORF 1250	pgpB	Clockwise,0.536132
> ORF 1253	pyrF	Clockwise,0.664986
> ORF 1254	yciH	Clockwise,0.73758
> ORF 1255	osmB	Counterclockwise,0.214063
> ORF 1412	ydcU	Clockwise,0.77156
> ORF 1802	yebV	Clockwise,0.667054
> ORF 2483	hscB	Counterclockwise,0.403032
> ORF 1256	yciT	Counterclockwise,0.356206
> ORF 1259	ymiB	Clockwise,0.499497
> ORF 2950	plsC	Counterclockwise,0.0673931
> ORF 1257	yciZ	Counterclockwise,0.417968
> ORF 1262	fabI	Counterclockwise,0.176456
> ORF 1266	sapC	Counterclockwise,0.206315
> ORF 1365	paaG	Clockwise,0.613994
> ORF 1324	recT	Counterclockwise,0.147721
> ORF 1273	puuR	Clockwise,0.436407
> ORF 1279	pspB	Clockwise,0.761065
> ORF 2635	argQ	Counterclockwise,-0.878576
> ORF 1281	pspD	Clockwise,0.833699
> ORF 1285	ycjO	Clockwise,0.795796
> ORF 1287	ycjQ	Clockwise,0.76084
> ORF 1484	yneF	Counterclockwise,0.121802
> ORF 1292	ompG	Clockwise,0.631483
> ORF 1295	ycjF	Clockwise,0.737046
> ORF 1890	fliZ	Counterclockwise,0.296012
> ORF 1297	tpx	Counterclockwise,0.371039
> ORF 1298	ycjG	Clockwise,0.715843
> ORF 1629	ydhR	Clockwise,0.609076
> ORF 1301	ycjZ	Clockwise,0.37372
> ORF 2290	yfcP	Counterclockwise,0.163662
> ORF 1303	ynaI	Counterclockwise,0.231373
> ORF 3367	yhhY	Clockwise,0.449879
> ORF 1391	sokB	Clockwise,-0.35154
> ORF 2154	ccmD	Counterclockwise,0.181402
> ORF 1305	ynaJ	Clockwise,0.71457
> ORF 2155	ccmC	Counterclockwise,0.150637
> ORF 3081	yraR	Counterclockwise,0.14575
> ORF 1482	yneE	Counterclockwise,0.282105
> ORF 1308	ogt	Counterclockwise,0.124858
> ORF 1312	abgR	Clockwise,0.57109
> ORF 1314	smrA	Clockwise,0.720034
> ORF 2532	rpoE	Counterclockwise,0.0294551
> ORF 1316	ydaN	Clockwise,0.586826
> ORF 1319	ttcA	Counterclockwise,0.354642
> ORF 3430	slp	Clockwise,0.744215
> ORF 1331	ydaG	Counterclockwise,0.16528
> ORF 3739	yigB	Clockwise,0.715512
> ORF 2062	yegX	Counterclockwise,0.0755667
> ORF 1332	racR	Counterclockwise,0.0480627
> ORF 3916	thiG	Counterclockwise,0.26222
> ORF 1333	ydaS	Clockwise,0.162706
> ORF 1334	ydaT	Clockwise,0.657242
> ORF 1345	uspF	Counterclockwise,0.0536887
> ORF 2014	wcaE	Counterclockwise,0.266941
> ORF 1337	rzoR	Clockwise,0.365128
> ORF 1342	tfaR	Clockwise,0.491143
> ORF 4278	yjjN	Clockwise,0.651829
> ORF 1354	ydbL	Clockwise,0.613315
> ORF 1343	pinR	Counterclockwise,0.114462
> ORF 1347	micC	Clockwise,-0.0413812
> ORF 2060	yegV	Clockwise,0.608152
> ORF 3393	yhhM	Counterclockwise,0.319856
> ORF 1349	ydbJ	Clockwise,0.334394
> ORF 2443	hyfH	Clockwise,0.648213
> ORF 1350	hslJ	Counterclockwise,0.355417
> ORF 1359	paaA	Clockwise,0.573132
> ORF 1364	paaF	Clockwise,0.512538
> ORF 1583	add	Clockwise,0.803433
> ORF 1370	paaX	Clockwise,0.665408
> ORF 2685	rpoS	Counterclockwise,0.311357
> ORF 1371	paaY	Clockwise,0.602062
> ORF 2163	napD	Counterclockwise,0.281903
> ORF 1382	azoR	Counterclockwise,0.163052
> ORF 1384	ydcF	Clockwise,0.541901
> ORF 2836	fldB	Clockwise,0.788404
> ORF 3906	nusG	Clockwise,0.665371
> ORF 1388	ydcA	Clockwise,0.388479
> ORF 1389	hokB	Counterclockwise,0.255745
> ORF 2425	yffB	Clockwise,0.685297
> ORF 1390	mokB	Counterclockwise,-0.337076
> ORF 1397	rimL	Clockwise,0.488272
> ORF 3003	ileX	Clockwise,0.139552
> ORF 1399	tehA	Clockwise,0.664984
> ORF 1400	tehB	Clockwise,0.724496
> ORF 3561	rfaQ	Counterclockwise,0.159703
> ORF 1404	ydcN	Clockwise,0.388948
> ORF 2061	yegW	Counterclockwise,0.342718
> ORF 3903	thrT	Clockwise,0.312729
> ORF 2097	dusC	Counterclockwise,0.131087
> ORF 1406	yncJ	Counterclockwise,0.184309
> ORF 2165	yojO	Clockwise,0.204813
> ORF 1407	hicA	Clockwise,0.210646
> ORF 1699	chbA	Counterclockwise,0.324281
> ORF 1408	hicB	Clockwise,0.581123
> ORF 2149	narP	Clockwise,0.726256
> ORF 2242	nuoE	Counterclockwise,0.194122
> ORF 3068	agaC	Clockwise,0.716697
> ORF 2057	fbaB	Counterclockwise,0.230854
> ORF 1415	yncL	Counterclockwise,0.158126
> ORF 3351	glpG	Counterclockwise,0.211821
> ORF 1417	ydcY	Clockwise,0.826787
> ORF 1420	curA	Clockwise,0.617953
> ORF 1425	yncG	Clockwise,0.460294
> ORF 2623	proW	Clockwise,0.827121
> ORF 1426	yncH	Clockwise,0.387541
> ORF 1427	ydcD	Clockwise,0.379155
> ORF 1764	dmlR	Counterclockwise,0.263825
> ORF 1431	nhoA	Clockwise,0.576114
> ORF 3543	yibQ	Clockwise,0.674023
> ORF 1433	narV	Counterclockwise,0.142302
> ORF 1448	osmC	Clockwise,0.60466
> ORF 1539	rspB	Counterclockwise,0.112991
> ORF 1450	ddpD	Counterclockwise,0.218941
> ORF 3451	yhjH	Counterclockwise,0.150221
> ORF 1454	ddpX	Counterclockwise,0.317796
> ORF 1465	ydeO	Counterclockwise,0.139593
> ORF 2343	ypeC	Clockwise,0.595598
> ORF 1469	ydeR	Counterclockwise,0.127474
> ORF 1470	ydeS	Counterclockwise,0.0820511
> ORF 2618	nrdH	Clockwise,0.56166
> ORF 1472	hipB	Counterclockwise,0.311232
> ORF 3196	yhdV	Clockwise,0.507532
> ORF 1476	lsrC	Clockwise,0.699443
> ORF 4052	dcuR	Counterclockwise,0.115256
> ORF 1480	lsrG	Clockwise,0.500841
> ORF 1481	tam	Clockwise,0.713829
> ORF 3938	yjaB	Counterclockwise,-0.000385551
> ORF 1485	yneG	Counterclockwise,0.2635
> ORF 1497	yneM	Clockwise,0.477247
> ORF 1976	yoeB	Counterclockwise,0.127514
> ORF 1503	ydfG	Clockwise,0.645257
> ORF 1504	ydfH	Clockwise,0.74555
> ORF 1507	ydfK	Clockwise,0.425694
> ORF 1510	stfQ	Counterclockwise,0.036736
> ORF 1603	slyA	Counterclockwise,0.20363
> ORF 1514	ynfN	Counterclockwise,0.165643
> ORF 1999	rfbD	Counterclockwise,0.114566
> ORF 3784	dsbA	Clockwise,0.73153
> ORF 1517	rzoQ	Counterclockwise,0.0807332
> ORF 1554	ynfL	Counterclockwise,0.187241
> ORF 1518	rrrQ	Counterclockwise,0.224968
> ORF 1520	essQ	Counterclockwise,0.346023
> ORF 1521	cspB	Counterclockwise,0.0786457
> ORF 1522	cspF	Clockwise,0.348244
> ORF 2159	napB	Counterclockwise,0.180048
> ORF 1524	ydfU	Counterclockwise,0.143128
> ORF 2132	lpxT	Clockwise,0.64162
> ORF 1870	ftnB	Clockwise,0.430131
> ORF 3272	tusC	Counterclockwise,0.0719409
> ORF 2098	yohJ	Clockwise,0.561041
> ORF 1525	rem	Counterclockwise,0.166174
> ORF 1998	rfbA	Counterclockwise,0.102725
> ORF 3312	trpS	Counterclockwise,0.246103
> ORF 1526	hokD	Counterclockwise,-0.0526954
> ORF 1527	relE	Counterclockwise,-0.048574
> ORF 1628	valW	Clockwise,-0.25355
> ORF 1528	relB	Counterclockwise,0.284346
> ORF 2887	gshB	Clockwise,0.798091
> ORF 1850	cheZ	Counterclockwise,0.356071
> ORF 1529	ydfV	Clockwise,0.0333621
> ORF 1531	dicC	Counterclockwise,-0.193988
> ORF 2838	ygfY	Counterclockwise,0.110306
> ORF 1532	dicA	Clockwise,0.251859
> ORF 1533	ydfA	Clockwise,0.531171
> ORF 1534	ydfB	Clockwise,0.686432
> ORF 1535	ydfC	Clockwise,0.754407
> ORF 1536	dicF	Clockwise,0.31874
> ORF 1542	ynfB	Clockwise,0.55129
> ORF 3485	insJ	Clockwise,0.371506
> ORF 1544	ynfC	Counterclockwise,0.0957964
> ORF 1545	ynfD	Clockwise,0.435419
> ORF 2183	yfaP	Counterclockwise,0.193213
> ORF 1549	ynfH	Clockwise,0.500732
> ORF 1550	dmsD	Clockwise,0.677776
> ORF 2476	sseA	Clockwise,0.69215
> ORF 1552	ynfK	Counterclockwise,0.154543
> ORF 4121	bsmA	Counterclockwise,0.0537583
> ORF 1556	asr	Clockwise,0.732818
> ORF 1557	ydgU	Clockwise,1.09161
> ORF 1929	rseX	Clockwise,0.146603
> ORF 1558	ydgD	Clockwise,0.565901
> ORF 3490	wecH	Clockwise,0.593013
> ORF 1560	mdtJ	Counterclockwise,0.113955
> ORF 1561	tqsA	Clockwise,0.754152
> ORF 2266	hisJ	Counterclockwise,0.377675
> ORF 2119	rihB	Counterclockwise,0.210917
> ORF 1564	ydgH	Clockwise,0.623282
> ORF 3846	yiiR	Clockwise,0.706558
> ORF 3571	pyrE	Counterclockwise,0.364332
> ORF 1566	folM	Clockwise,0.73737
> ORF 2774	thyA	Counterclockwise,0.202443
> ORF 1567	ydgC	Counterclockwise,0.151749
> ORF 2365	zipA	Counterclockwise,0.150768
> ORF 3934	gltV	Clockwise,-0.254098
> ORF 1568	rstA	Clockwise,0.651714
> ORF 2357	xapR	Counterclockwise,0.154785
> ORF 1570	tus	Clockwise,0.655487
> ORF 2593	ypjK	Clockwise,0.665408
> ORF 1580	malI	Counterclockwise,0.335085
> ORF 1585	blr	Clockwise,0.243493
> ORF 2356	lysV	Clockwise,0.100631
> ORF 1588	rsxA	Clockwise,0.637609
> ORF 1589	rsxB	Clockwise,0.577649
> ORF 1591	rsxD	Clockwise,0.525815
> ORF 1594	nth	Clockwise,0.716399
> ORF 2965	yqiB	Counterclockwise,0.12889
> ORF 1597	pdxY	Counterclockwise,0.220177
> ORF 1599	pdxH	Counterclockwise,0.39289
> ORF 1673	btuD	Counterclockwise,0.227597
> ORF 1600	mliC	Counterclockwise,0.184375
> ORF 2309	yfdN	Counterclockwise,-0.0638995
> ORF 3824	frvX	Counterclockwise,0.278479
> ORF 1602	slyB	Clockwise,0.567803
> ORF 1604	ydhI	Clockwise,0.523024
> ORF 1605	ydhJ	Clockwise,0.488643
> ORF 3607	yidH	Counterclockwise,0.243742
> ORF 1608	ydhF	Counterclockwise,0.216732
> ORF 1610	nemR	Clockwise,0.749266
> ORF 1783	manY	Clockwise,0.653725
> ORF 3106	secG	Counterclockwise,0.23467
> ORF 1611	nemA	Clockwise,0.78038
> ORF 1615	grxD	Counterclockwise,0.210548
> ORF 2215	arnF	Clockwise,0.734261
> ORF 1617	sodB	Clockwise,0.843171
> ORF 2094	yohD	Clockwise,0.871726
> ORF 2530	rseB	Counterclockwise,0.299895
> ORF 1619	ynhF	Counterclockwise,0.348392
